"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.440542417E0,1.169068909E-1,3.606001282E-1,9.790390778E0,9.797726841E0
1.450588417E0,1.278341675E-1,3.754193115E-1,9.788444824E0,9.796475556E0
1.460633417E0,1.243913269E-1,3.944297791E-1,9.797725525E0,9.806450607E0
1.470678417E0,1.279838562E-1,4.023632813E-1,9.769733734E0,9.778853374E0
1.480724417E0,1.149609375E-1,4.083508301E-1,9.797725525E0,9.806905316E0
1.490769417E0,1.110690308E-1,3.983216858E-1,9.794282684E0,9.803008201E0
1.500815417E0,1.191522217E-1,3.844006348E-1,9.785900116E0,9.794171848E0
1.510860417E0,1.173559570E-1,3.685336304E-1,9.796977081E0,9.804608579E0
1.520906417E0,1.121168518E-1,3.683839417E-1,9.774523773E0,9.782105699E0
1.530951417E0,1.026864624E-1,3.481759644E-1,9.805209961E0,9.811927099E0
1.540997417E0,1.035845947E-1,3.600013733E-1,9.789941711E0,9.797106178E0
1.551042417E0,1.152603149E-1,3.640429688E-1,9.774224396E0,9.781680569E0
1.561087417E0,1.140628052E-1,3.493734741E-1,9.797875214E0,9.804765721E0
1.571133417E0,1.139131165E-1,3.550616455E-1,9.793234863E0,9.800331324E0
1.581178417E0,1.182540894E-1,3.679348755E-1,9.785900116E0,9.793528536E0
1.591224417E0,1.029858398E-1,3.778143311E-1,9.792187042E0,9.800014124E0
1.601269417E0,1.158590698E-1,3.936813354E-1,9.782457275E0,9.791061161E0
1.611315417E0,1.224453735E-1,3.923341370E-1,9.779164124E0,9.787796989E0
1.621360417E0,1.199006653E-1,3.978726196E-1,9.782307587E0,9.791129685E0
1.631405417E0,1.202000427E-1,3.854484558E-1,9.794582062E0,9.802900404E0
1.641451417E0,1.193019104E-1,3.781137085E-1,9.784552917E0,9.792582842E0
1.651496417E0,1.288819885E-1,3.776646423E-1,9.786798248E0,9.794930378E0
1.661542417E0,1.206491089E-1,3.622467041E-1,9.788893890E0,9.796337197E0
1.671587417E0,1.164578247E-1,3.469784546E-1,9.798923035E0,9.805755917E0
1.681633417E0,1.064286804E-1,3.402424622E-1,9.805958405E0,9.812436610E0
1.691678417E0,1.071771240E-1,3.614982605E-1,9.783654785E0,9.790917673E0
1.701724417E0,1.088237000E-1,3.740721130E-1,9.783505096E0,9.791258577E0
1.711769417E0,1.230441284E-1,3.775149536E-1,9.792636108E0,9.800682596E0
1.721814417E0,1.377136230E-1,3.821553040E-1,9.762398987E0,9.770846519E0
1.731860417E0,1.323248291E-1,3.924838257E-1,9.813442841E0,9.822179687E0
1.741905417E0,1.179547119E-1,4.031117249E-1,9.791737976E0,9.800742062E0
1.751951417E0,1.175056458E-1,4.035607910E-1,9.772727509E0,9.781762206E0
1.761996417E0,1.050814819E-1,3.911366272E-1,9.813592529E0,9.821946259E0
1.772042417E0,1.073268127E-1,3.858975220E-1,9.793833618E0,9.802020857E0
1.782087417E0,9.729766846E-2,3.670367432E-1,9.795180817E0,9.802537939E0
1.792132417E0,9.639953613E-2,3.620970154E-1,9.779313812E0,9.786489961E0
1.802178417E0,1.064286804E-1,3.549119568E-1,9.782008209E0,9.789023147E0
1.812223417E0,1.170565796E-1,3.460803223E-1,9.766141205E0,9.772972315E0
1.822269417E0,1.245410156E-1,3.529660034E-1,9.770931244E0,9.778097608E0
1.832314417E0,1.203497314E-1,3.568579102E-1,9.811496887E0,9.818722055E0
1.842360417E0,1.166075134E-1,3.603007507E-1,9.775272217E0,9.782605014E0
1.852405417E0,1.190025330E-1,3.875440979E-1,9.792187042E0,9.800575447E0
1.862451417E0,1.233435059E-1,3.806584167E-1,9.800719299E0,9.808884403E0
1.872496417E0,1.339714050E-1,4.032614136E-1,9.773176575E0,9.782410156E0
1.882541417E0,1.082249451E-1,4.028123474E-1,9.803862762E0,9.812731296E0
1.892587417E0,1.179547119E-1,3.888912964E-1,9.775870972E0,9.784314131E0
1.902632417E0,1.137634277E-1,3.915856934E-1,9.786349182E0,9.794841080E0
1.912678458E0,9.759704590E-2,3.845503235E-1,9.795180817E0,9.803212298E0
1.922723458E0,1.047821045E-1,3.754193115E-1,9.792636108E0,9.800389834E0
1.932769458E0,1.148112488E-1,3.674858093E-1,9.792486420E0,9.800051924E0
1.942814458E0,1.151106262E-1,3.519181824E-1,9.780810699E0,9.787816651E0
1.952859458E0,1.251397705E-1,3.478765869E-1,9.782756653E0,9.789739823E0
1.962905458E0,1.176553345E-1,3.653901672E-1,9.807604980E0,9.815114274E0
1.972950458E0,1.155596924E-1,3.576063538E-1,9.777667236E0,9.784886966E0
1.982996458E0,1.094224548E-1,3.728746033E-1,9.792187042E0,9.799894684E0
1.993041458E0,9.864486694E-2,3.808081055E-1,9.787097626E0,9.795000029E0
2.003087458E0,1.200503540E-1,3.900888062E-1,9.777517548E0,9.786032432E0
2.013132458E0,1.240919495E-1,3.896397400E-1,9.798174591E0,9.806703996E0
2.023178458E0,1.221459961E-1,3.770658875E-1,9.770931244E0,9.778967006E0
