"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.003545335E0,1.240500063E-1,-1.227000117E0,9.754050255E0,9.831704535E0
1.008337414E0,1.380000114E-1,-1.206000090E0,9.760950089E0,9.836138818E0
1.013130873E0,1.360500008E-1,-1.218000054E0,9.768000603E0,9.844585797E0
1.017924186E0,1.189500093E-1,-1.239000082E0,9.775050163E0,9.853977674E0
1.022718878E0,1.309500039E-1,-1.210050106E0,9.768000603E0,9.843536201E0
1.027510957E0,1.099500060E-1,-1.215000033E0,9.760950089E0,9.836892838E0
1.032304432E0,1.240500063E-1,-1.203000069E0,9.754050255E0,9.828738166E0
1.037097740E0,1.240500063E-1,-1.230000019E0,9.757950783E0,9.835948959E0
1.041892432E0,1.360500008E-1,-1.213050008E0,9.756000519E0,9.832067232E0
1.046684515E0,1.410000026E-1,-1.215000033E0,9.751049995E0,9.827465701E0
1.051477974E0,1.429500133E-1,-1.186050057E0,9.744000435E0,9.816959505E0
1.056271282E0,1.360500008E-1,-1.213050008E0,9.757950783E0,9.834002410E0
1.061065965E0,1.429500133E-1,-1.191000104E0,9.756000519E0,9.829469064E0
1.065858044E0,1.240500063E-1,-1.207950115E0,9.763050079E0,9.838276208E0
1.070651504E0,1.260000020E-1,-1.207950115E0,9.766050339E0,9.841278306E0
1.075444816E0,1.290000081E-1,-1.219950080E0,9.763050079E0,9.839820428E0
1.080239508E0,1.429500133E-1,-1.195950031E0,9.760950089E0,9.834982349E0
1.085031818E0,1.380000114E-1,-1.206000090E0,9.768000603E0,9.843135476E0
1.089825119E0,1.600500047E-1,-1.201050043E0,9.780000687E0,9.854772988E0
1.094618581E0,1.380000114E-1,-1.198050022E0,9.766050339E0,9.840229016E0
1.099413042E0,1.219500080E-1,-1.207950115E0,9.768000603E0,9.843162655E0
1.104205352E0,1.410000026E-1,-1.191000104E0,9.757950783E0,9.831376594E0
1.108998658E0,1.330500096E-1,-1.198050022E0,9.756000519E0,9.830186788E0
1.113792119E0,1.380000114E-1,-1.182000041E0,9.778050423E0,9.850199905E0
1.118586557E0,1.530000120E-1,-1.191000104E0,9.748950005E0,9.822622687E0
1.123378867E0,1.189500093E-1,-1.203000069E0,9.772950172E0,9.847431815E0
1.128172095E0,1.549500078E-1,-1.189050078E0,9.768000603E0,9.841325387E0
1.132965619E0,1.360500008E-1,-1.201050043E0,9.766050339E0,9.840567566E0
1.137760080E0,1.290000081E-1,-1.182000041E0,9.745950699E0,9.818213693E0
1.142552390E0,1.380000114E-1,-1.186050057E0,9.756000519E0,9.828799767E0
1.147345605E0,1.240500063E-1,-1.182000041E0,9.775050163E0,9.847036011E0
1.152139143E0,1.219500080E-1,-1.186050057E0,9.763050079E0,9.835585056E0
1.156933605E0,1.189500093E-1,-1.203000069E0,9.775050163E0,9.849515925E0
1.161725915E0,1.219500080E-1,-1.213050008E0,9.781949997E0,9.857631961E0
1.166519220E0,1.480500102E-1,-1.195950031E0,9.772950172E0,9.846967572E0
1.171312682E0,1.410000026E-1,-1.183950067E0,9.766050339E0,9.838564833E0
1.176107186E0,1.309500039E-1,-1.177050114E0,9.769950867E0,9.841470155E0
1.180899419E0,1.500000060E-1,-1.195950031E0,9.772950172E0,9.846997083E0
1.185692725E0,1.360500008E-1,-1.198050022E0,9.772950172E0,9.847049737E0
1.190486186E0,1.450500041E-1,-1.191000104E0,9.781949997E0,9.855255780E0
1.195280648E0,1.450500041E-1,-1.171950102E0,9.778050423E0,9.849100295E0
1.200072958E0,1.429500133E-1,-1.206000090E0,9.763050079E0,9.838293438E0
1.204866239E0,1.260000020E-1,-1.165050030E0,9.763050079E0,9.833125872E0
1.209659701E0,1.360500008E-1,-1.201050043E0,9.781949997E0,9.856347019E0
1.214454162E0,1.330500096E-1,-1.195950031E0,9.768000603E0,9.841841015E0
1.219246472E0,1.480500102E-1,-1.195950031E0,9.766050339E0,9.840119639E0
1.224039778E0,1.360500008E-1,-1.191000104E0,9.766050339E0,9.839346018E0
1.228833009E0,1.309500039E-1,-1.213050008E0,9.754050255E0,9.830062797E0
1.233627797E0,1.260000020E-1,-1.213050008E0,9.769950867E0,9.845776062E0
1.238420030E0,1.450500041E-1,-1.210050106E0,9.766050339E0,9.841798615E0
1.243213335E0,1.290000081E-1,-1.186050057E0,9.766050339E0,9.838653107E0
1.248006773E0,1.410000026E-1,-1.201050043E0,9.757950783E0,9.832599132E0
1.252801311E0,1.330500096E-1,-1.201050043E0,9.772950172E0,9.847374197E0
1.257593544E0,1.260000020E-1,-1.210050106E0,9.763050079E0,9.838559047E0
1.262386836E0,1.360500008E-1,-1.210050106E0,9.766050339E0,9.841670086E0
1.267180297E0,1.330500096E-1,-1.195950031E0,9.763050079E0,9.836927652E0
1.271974759E0,1.260000020E-1,-1.219950080E0,9.766050339E0,9.842758425E0
1.276767069E0,1.380000114E-1,-1.215000033E0,9.775050163E0,9.851237221E0
1.281560374E0,1.410000026E-1,-1.218000054E0,9.768000603E0,9.844655449E0
1.286353836E0,1.120500043E-1,-1.215000033E0,9.775050163E0,9.850907876E0
1.291148374E0,1.410000026E-1,-1.207950115E0,9.766050339E0,9.841481784E0
1.295940607E0,1.290000081E-1,-1.201050043E0,9.757950783E0,9.832434372E0
1.300733913E0,1.410000026E-1,-1.203000069E0,9.751049995E0,9.825989323E0
1.305527359E0,1.380000114E-1,-1.219950080E0,9.760950089E0,9.837858956E0
1.310321898E0,1.260000020E-1,-1.219950080E0,9.748950005E0,9.825791591E0
1.315114131E0,1.189500093E-1,-1.206000090E0,9.766050339E0,9.840951404E0
1.319907441E0,1.260000020E-1,-1.215000033E0,9.772950172E0,9.848992647E0
1.324700903E0,1.330500096E-1,-1.213050008E0,9.768000603E0,9.843933584E0
1.329495441E0,9.495000541E-2,-1.218000054E0,9.760950089E0,9.837107617E0
1.334287679E0,1.240500063E-1,-1.207950115E0,9.757950783E0,9.833215922E0
1.339080985E0,1.140000075E-1,-1.210050106E0,9.781949997E0,9.857168103E0
1.343874446E0,1.140000075E-1,-1.203000069E0,9.766050339E0,9.840525615E0
1.348668999E0,1.120500043E-1,-1.195950031E0,9.754050255E0,9.827733617E0
1.353461232E0,1.170000061E-1,-1.207950115E0,9.780000687E0,9.855011208E0
1.358254537E0,1.050000042E-1,-1.206000090E0,9.754050255E0,9.828883843E0
1.363048008E0,1.120500043E-1,-1.195950031E0,9.757950783E0,9.831604913E0
1.367842546E0,1.189500093E-1,-1.222050071E0,9.739050865E0,9.816143196E0
1.372634779E0,1.429500133E-1,-1.206000090E0,9.763050079E0,9.838293438E0
1.377428090E0,1.120500043E-1,-1.203000069E0,9.757950783E0,9.832464993E0
1.382221551E0,1.050000042E-1,-1.213050008E0,9.763050079E0,9.838681933E0
1.387016013E0,1.020000055E-1,-1.203000069E0,9.769950867E0,9.844264985E0
1.391808304E0,9.300000221E-2,-1.207950115E0,9.757950783E0,9.832873230E0
1.396601609E0,1.189500093E-1,-1.198050022E0,9.757950783E0,9.831941641E0
1.401395071E0,1.050000042E-1,-1.201050043E0,9.769950867E0,9.844058418E0
1.406189599E0,9.795000404E-2,-1.213050008E0,9.742050171E0,9.817770931E0
1.410981832E0,9.495000541E-2,-1.206000090E0,9.754050255E0,9.828781618E0
1.415775138E0,8.805000782E-2,-1.210050106E0,9.756000519E0,9.831150502E0
1.420568640E0,8.595000207E-2,-1.177050114E0,9.772950172E0,9.843951922E0
1.425363178E0,9.300000221E-2,-1.167000055E0,9.756000519E0,9.825990243E0
1.430155411E0,9.495000541E-2,-1.179000020E0,9.756000519E0,9.827441309E0
1.434948725E0,1.099500060E-1,-1.210050106E0,9.766050339E0,9.841343886E0
1.439742187E0,9.000000358E-2,-1.189050078E0,9.756000519E0,9.828605507E0
1.444536649E0,9.495000541E-2,-1.186050057E0,9.748950005E0,9.821290976E0
1.449328949E0,9.495000541E-2,-1.198050022E0,9.754050255E0,9.827809305E0
1.454122255E0,9.000000358E-2,-1.191000104E0,9.781949997E0,9.854599281E0
1.458915717E0,7.800000161E-2,-1.195950031E0,9.766050339E0,9.839315001E0
1.463710231E0,8.805000782E-2,-1.182000041E0,9.757950783E0,9.829673463E0
1.468502464E0,8.295000345E-2,-1.203000069E0,9.790050507E0,9.864034610E0
1.473295769E0,7.605000585E-2,-1.195950031E0,9.757950783E0,9.831260528E0
